Domain,Reporter Country Code (M49),Reporter,Partner Country Code (M49),Partner,Measure,Item Code (CPC),Product,Year,Unit,Value,Unit Price (USD per t)
Detailed trade matrix,356,India,4,Afghanistan,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,t,0.47,
Detailed trade matrix,356,India,4,Afghanistan,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,t,860.4,
Detailed trade matrix,356,India,4,Afghanistan,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,t,12697.2,
Detailed trade matrix,356,India,4,Afghanistan,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,USD,0.0,
Detailed trade matrix,356,India,4,Afghanistan,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,USD,239000.0,
Detailed trade matrix,356,India,4,Afghanistan,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,3053000.0,
Detailed trade matrix,356,India,4,Afghanistan,Export quantity,111.0,Wheat,2017,t,18975.0,
Detailed trade matrix,356,India,4,Afghanistan,Export quantity,111.0,Wheat,2018,t,26406.0,
Detailed trade matrix,356,India,4,Afghanistan,Export quantity,111.0,Wheat,2020,t,55584.0,
Detailed trade matrix,356,India,4,Afghanistan,Export quantity,111.0,Wheat,2022,t,37242.01,
Detailed trade matrix,356,India,4,Afghanistan,Export value,111.0,Wheat,2017,USD,7019000.0,
Detailed trade matrix,356,India,4,Afghanistan,Export value,111.0,Wheat,2018,USD,9296000.0,
Detailed trade matrix,356,India,4,Afghanistan,Export value,111.0,Wheat,2020,USD,19270000.0,
Detailed trade matrix,356,India,4,Afghanistan,Export value,111.0,Wheat,2022,USD,11927000.0,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,t,13750.64,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,t,27930.09,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,t,25324.27,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,t,24617.58,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,t,23245.79,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,t,16099.53,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,t,14315.05,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,t,21829.36,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,t,25580.93,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,USD,5243000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,USD,6016000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,USD,5459000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,USD,5732000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,USD,5236000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,USD,4140000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,USD,4596000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,USD,6209000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,7007000.0,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,111.0,Wheat,2015,t,312.23,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,111.0,Wheat,2016,t,266.05,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,111.0,Wheat,2017,t,256.45,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,111.0,Wheat,2018,t,399.0,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,111.0,Wheat,2019,t,365.52,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,111.0,Wheat,2020,t,582.81,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,111.0,Wheat,2021,t,528.99,
Detailed trade matrix,356,India,48,Bahrain,Export quantity,111.0,Wheat,2022,t,342.77,
Detailed trade matrix,356,India,48,Bahrain,Export value,111.0,Wheat,2015,USD,94000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,111.0,Wheat,2016,USD,80000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,111.0,Wheat,2017,USD,84000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,111.0,Wheat,2018,USD,131000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,111.0,Wheat,2019,USD,124000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,111.0,Wheat,2020,USD,177000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,111.0,Wheat,2021,USD,159000.0,
Detailed trade matrix,356,India,48,Bahrain,Export value,111.0,Wheat,2022,USD,113000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,t,201727.0,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,t,322146.21,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,t,203827.74,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,t,262303.8,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,t,191645.7,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,t,494050.96,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,t,539441.0,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,t,699834.4,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,t,884360.39,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,USD,80728000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,USD,57938000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,USD,55434000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,USD,56600000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,USD,65472000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,USD,92901000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,USD,141820000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,USD,139948000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,209500000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,111.0,Wheat,2015,t,342177.49,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,111.0,Wheat,2016,t,14013.2,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,111.0,Wheat,2017,t,3215.0,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,111.0,Wheat,2018,t,13523.91,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,111.0,Wheat,2019,t,9417.1,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,111.0,Wheat,2020,t,378759.72,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,111.0,Wheat,2021,t,3668670.0,
Detailed trade matrix,356,India,50,Bangladesh,Export quantity,111.0,Wheat,2022,t,2362527.84,
Detailed trade matrix,356,India,50,Bangladesh,Export value,111.0,Wheat,2015,USD,90380000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,111.0,Wheat,2016,USD,3514000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,111.0,Wheat,2017,USD,781000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,111.0,Wheat,2018,USD,3226000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,111.0,Wheat,2019,USD,2762000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,111.0,Wheat,2020,USD,93867000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,111.0,Wheat,2021,USD,1031427000.0,
Detailed trade matrix,356,India,50,Bangladesh,Export value,111.0,Wheat,2022,USD,734544000.0,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,t,0.51,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,t,209.14,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,t,3880.37,
